['ID', 'AM', 'AK_ETOS_EGGRAFHS', 'D/NSH_KATOIKIAS', 'D/NSH_MONIMHS_KATOIKIAS', 'BARCODE_PASOU', 'SYNOLIKO_EISODHMA_PATROS', 'SYNOLIKO_EISODHMA_MHTROS', 'AR_MELON_OIKOGENEIAS', 'SYNOLIKO']
(3, 1057493, 2016, 'ΚΟΡΙΝΘΟΥ 314 ΠΑΤΡΑ', 'ΘΕΡΜΟΠΥΛΩΝ 56 ΑΣΠΡΟΠΥΡΓΟΣ', 709553392791, '8485', '7003', 4, 15488)
(53, 1609259, 2019, 'ΜΑΙΖΩΝΟΣ 264 ΠΑΤΡΑ', 'ΘΕΣΣΑΛΟΝΙΚΗΣ 204 ΗΡΑΚΛΕΙΟ', 375762261842, '4894', '10805', 3, 15699)
(63, 1703500, 2018, 'ΜΑΙΖΩΝΟΣ 389 ΠΑΤΡΑ', 'ΗΡΑΚΛΕΙΟΥ 64 ΙΩΑΝΝΙΝΑ', 191213028821, '8736', '8065', 8, 16801)
(91, 1935292, 2017, 'ΑΚΤΗ ΔΥΜΑΙΩΝ 13 ΠΑΤΡΑ', 'ΠΑΤΜΕΖΑ 35 ΧΙΟΣ', 711977835749, '9828', '7699', 6, 17527)
(27, 1161660, 2019, 'ΚΟΡΙΝΘΟΥ 572 ΠΑΤΡΑ', 'ΚΥΠΡΟΥ 55 ΘΕΣΣΑΛΟΝΙΚΗ', 661259407313, '10791', '7558', 6, 18349)
(29, 1169795, 2019, 'ΚΟΡΙΝΘΟΥ 598 ΠΑΤΡΑ', 'ΚΥΠΡΟΥ 86 ΘΕΣΣΑΛΟΝΙΚΗ', 629081348792, '5707', '12738', 4, 18445)
(11, 1090075, 2017, 'ΚΟΡΙΝΘΟΥ 406 ΠΑΤΡΑ', 'ΜΕΤΑΜΟΡΦΟΣΕΩΣ 74 ΧΑΛΑΝΔΡΙ', 833294048054, '12360', '11305', 4, 23665)
(43, 1444451, 2019, 'ΝΑΥΑΡΙΝΟΥ 156 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 187 ΚΟΜΟΤΗΝΗ', 383344404111, '9389', '15461', 7, 24850)
(13, 1099145, 2020, 'ΚΟΡΙΝΘΟΥ 414 ΠΑΤΡΑ', 'ΜΕΤΑΜΟΡΦΟΣΕΩΣ 97 ΧΑΛΑΝΔΡΙ', 702160843915, '12514', '13180', 8, 25694)
(49, 1564135, 2016, 'ΜΑΙΖΩΝΟΣ 219 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 258 ΚΟΜΟΤΗΝΗ', 910071071285, '14568', '12553', 7, 27121)
(95, 1966006, 2015, 'ΛΕΜΕΣΟΥ 32 ΠΑΤΡΑ', 'ΚΑΡΑΝΙΚΟΛΑ 12 ΡΟΔΟΣ', 899184818025, '5351', '23112', 7, 28463)
(35, 1360768, 2021, 'ΝΑΥΑΡΙΝΟΥ 60 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 47 ΠΕΙΡΑΙΑΣ', 477668057948, '11864', '16907', 3, 28771)
(7, 1074159, 2020, 'ΚΟΡΙΝΘΟΥ 372 ΠΑΤΡΑ', 'ΘΕΡΜΟΠΥΛΩΝ 97 ΑΣΠΡΟΠΥΡΓΟΣ', 312584578617, '17722', '15697', 6, 33419)
(89, 1868050, 2020, 'ΚΟΥΜΑΝΙΩΤΗ 58 ΠΑΤΡΑ', 'ΠΑΤΜΕΖΑ 21 ΧΙΟΣ', 763907420907, '21013', '13226', 6, 34239)
(51, 1576924, 2021, 'ΜΑΙΖΩΝΟΣ 257 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 279 ΚΟΜΟΤΗΝΗ', 925625145073, '19490', '15042', 6, 34532)
(61, 1701513, 2021, 'ΜΑΙΖΩΝΟΣ 376 ΠΑΤΡΑ', 'ΘΕΣΣΑΛΟΝΙΚΗΣ 288 ΗΡΑΚΛΕΙΟ', 630412711461, '17635', '17734', 6, 35369)
(9, 1074953, 2019, 'ΚΟΡΙΝΘΟΥ 398 ΠΑΤΡΑ', 'ΜΕΤΑΜΟΡΦΟΣΕΩΣ 42 ΧΑΛΑΝΔΡΙ', 469930021280, '28389', '7058', 5, 35447)
(79, 1800112, 2016, 'ΑΡΑΤΟΥ 54 ΠΑΤΡΑ', 'ΚΡΙΕΖΗ 89 ΛΑΜΙΑ', 633131893695, '27697', '8202', 8, 35899)
(71, 1755489, 2017, 'ΜΑΙΖΩΝΟΣ 476 ΠΑΤΡΑ', 'ΗΡΑΚΛΕΙΟΥ 213 ΙΩΑΝΝΙΝΑ', 358724147518, '15076', '21158', 5, 36234)
(45, 1459916, 2016, 'ΝΑΥΑΡΙΝΟΥ 189 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 204 ΚΟΜΟΤΗΝΗ', 571343586592, '9270', '27635', 3, 36905)
(19, 1117744, 2021, 'ΚΟΡΙΝΘΟΥ 498 ΠΑΤΡΑ', 'ΛΥΚΟΥΡΓΟΥ 37 ΣΠΑΡΤΗ', 253593365219, '16059', '21538', 3, 37597)
(41, 1393973, 2018, 'ΝΑΥΑΡΙΝΟΥ 121 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 98 ΠΕΙΡΑΙΑΣ', 666113693677, '14574', '24923', 7, 39497)
(83, 1818233, 2019, 'ΓΕΡΟΚΩΣΤΟΠΟΥΛΟΥ 18 ΠΑΤΡΑ', 'ΚΡΙΕΖΗ 123 ΛΑΜΙΑ', 923775938109, '32768', '6929', 6, 39697)
(65, 1723527, 2015, 'ΜΑΙΖΩΝΟΣ 395 ΠΑΤΡΑ', 'ΗΡΑΚΛΕΙΟΥ 80 ΙΩΑΝΝΙΝΑ', 822880759880, '18013', '23705', 3, 41718)
(75, 1775199, 2020, 'ΑΡΑΤΟΥ 12 ΠΑΤΡΑ', 'ΚΡΙΕΖΗ 33 ΛΑΜΙΑ', 425593622667, '19615', '22512', 3, 42127)
(59, 1665836, 2016, 'ΜΑΙΖΩΝΟΣ 347 ΠΑΤΡΑ', 'ΘΕΣΣΑΛΟΝΙΚΗΣ 269 ΗΡΑΚΛΕΙΟ', 287276546495, '28001', '15177', 4, 43178)
(33, 1350393, 2021, 'ΝΑΥΑΡΙΝΟΥ 56 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 14 ΠΕΙΡΑΙΑΣ', 767386971500, '10066', '33319', 8, 43385)
(81, 1815571, 2021, 'ΓΕΡΟΚΩΣΤΟΠΟΥΛΟΥ 14 ΠΑΤΡΑ', 'ΚΡΙΕΖΗ 108 ΛΑΜΙΑ', 504000669978, '32226', '12505', 6, 44731)
(5, 1062987, 2016, 'ΚΟΡΙΝΘΟΥ 336 ΠΑΤΡΑ', 'ΘΕΡΜΟΠΥΛΩΝ 82 ΑΣΠΡΟΠΥΡΓΟΣ', 623683312588, '27463', '22461', 3, 49924)
(15, 1107699, 2017, 'ΚΟΡΙΝΘΟΥ 436 ΠΑΤΡΑ', 'ΜΕΤΑΜΟΡΦΟΣΕΩΣ 162 ΧΑΛΑΝΔΡΙ', 598640435004, '16813', '34020', 4, 50833)
(73, 1770907, 2018, 'ΜΑΙΖΩΝΟΣ 494 ΠΑΤΡΑ', 'ΗΡΑΚΛΕΙΟΥ 256 ΙΩΑΝΝΙΝΑ', 511974245289, '14729', '38272', 8, 53001)
(97, 1974068, 2021, 'ΚΥΠΡΟΥ 56 ΠΑΤΡΑ', 'ΚΑΡΑΝΙΚΟΛΑ 18 ΡΟΔΟΣ', 949194694830, '20427', '34478', 6, 54905)
(25, 1158778, 2017, 'ΚΟΡΙΝΘΟΥ 536 ΠΑΤΡΑ', 'ΚΥΠΡΟΥ 26 ΘΕΣΣΑΛΟΝΙΚΗ', 360193120550, '22603', '33573', 7, 56176)
(17, 1111574, 2015, 'ΚΟΡΙΝΘΟΥ 472 ΠΑΤΡΑ', 'ΛΥΚΟΥΡΓΟΥ 14 ΣΠΑΡΤΗ', 510649988514, '25048', '31209', 3, 56257)
(21, 1121023, 2020, 'ΚΟΡΙΝΘΟΥ 506 ΠΑΤΡΑ', 'ΛΥΚΟΥΡΓΟΥ 77 ΣΠΑΡΤΗ', 315869377606, '19584', '37446', 4, 57030)
(57, 1631730, 2017, 'ΜΑΙΖΩΝΟΣ 324 ΠΑΤΡΑ', 'ΘΕΣΣΑΛΟΝΙΚΗΣ 247 ΗΡΑΚΛΕΙΟ', 419377614788, '37712', '21177', 5, 58889)
(87, 1850787, 2017, '25ΗΣ ΜΑΡΤΙΟΥ 36 ΠΑΤΡΑ', 'ΚΡΙΕΖΗ 187 ΛΑΜΙΑ', 232621936393, '22086', '37823', 8, 59909)
(1, 1034996, 2015, 'ΚΟΡΙΝΘΟΥ 306 ΠΑΤΡΑ', 'ΘΕΡΜΟΠΥΛΩΝ 32 ΑΣΠΡΟΠΥΡΓΟΣ', 133266954536, '24065', '37616', 6, 61681)
(99, 1985779, 2015, 'ΚΥΠΡΟΥ 84 ΠΑΤΡΑ', 'ΚΑΡΑΝΙΚΟΛΑ 26 ΡΟΔΟΣ', 669663250474, '39840', '21960', 5, 61800)
(37, 1375178, 2021, 'ΝΑΥΑΡΙΝΟΥ 63 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 67 ΠΕΙΡΑΙΑΣ', 257928812054, '34225', '27999', 5, 62224)
(85, 1840741, 2017, 'ΓΕΡΟΚΩΣΤΟΠΟΥΛΟΥ 18 ΠΑΤΡΑ', 'ΚΡΙΕΖΗ 165 ΛΑΜΙΑ', 740135413274, '35187', '27332', 5, 62519)
(67, 1740519, 2016, 'ΜΑΙΖΩΝΟΣ 436 ΠΑΤΡΑ', 'ΗΡΑΚΛΕΙΟΥ 134 ΙΩΑΝΝΙΝΑ', 527270327455, '31607', '30955', 6, 62562)
(55, 1615127, 2020, 'ΜΑΙΖΩΝΟΣ 288 ΠΑΤΡΑ', 'ΘΕΣΣΑΛΟΝΙΚΗΣ 226 ΗΡΑΚΛΕΙΟ', 429579809831, '38397', '25697', 7, 64094)
(39, 1386321, 2020, 'ΝΑΥΑΡΙΝΟΥ 74 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 84 ΠΕΙΡΑΙΑΣ', 131232422242, '34569', '29917', 5, 64486)
(31, 1190673, 2019, 'ΝΑΥΑΡΙΝΟΥ 28 ΠΑΤΡΑ', 'ΚΥΠΡΟΥ 97 ΘΕΣΣΑΛΟΝΙΚΗ', 191869839870, '27247', '37312', 3, 64559)
(47, 1542661, 2020, 'ΜΑΙΖΩΝΟΣ 213 ΠΑΤΡΑ', 'ΚΑΡΑΪΣΚΑΚΗ 236 ΚΟΜΟΤΗΝΗ', 592746282883, '31493', '35828', 4, 67321)
(23, 1126104, 2020, 'ΚΟΡΙΝΘΟΥ 514 ΠΑΤΡΑ', 'ΛΥΚΟΥΡΓΟΥ 99 ΣΠΑΡΤΗ', 467507175011, '29059', '39404', 7, 68463)
(69, 1745435, 2018, 'ΜΑΙΖΩΝΟΣ 459 ΠΑΤΡΑ', 'ΗΡΑΚΛΕΙΟΥ 175 ΙΩΑΝΝΙΝΑ', 785870188368, '33077', '35604', 7, 68681)
(77, 1783772, 2015, 'ΑΡΑΤΟΥ 23 ΠΑΤΡΑ', 'ΚΡΙΕΖΗ 57 ΛΑΜΙΑ', 503044130609, '39370', '30847', 8, 70217)
(93, 1958447, 2021, 'ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 47 ΠΑΤΡΑ', 'ΠΑΤΜΕΖΑ 77 ΧΙΟΣ', 688196350104, '31486', '39778', 8, 71264)
['ID', 'AM', 'KATHGORIA', 'D/NSH_MONIMHS_KATOIKIAS', 'THL_GONEON', 'EPAGGELMA_PATROS', 'EPAGGELNA_MHTROS', 'TOPOTHESIA_TMHMATOS', 'SYNOLIKO_EISODHMA_PATROS', 'SYNOLIKO_EISODHMA_MHTROS', 'SYNOLIKO_EISODHMA_IDIOU', 'AR_MELON_OIKOGENEIAS', 'ADELFIA_POU_SPOUDAZOYN', 'GONEIS_ME_EIDIKES_ANAGKES', 'DIAZEUGMENOI_GONEIS', 'ORFANOS_APO_ENAN_GONEA', 'POLUTEKNH_OIKOGENEIA', 'STRATIOTIKH_THHTEIA_ADELFOU', 'MELH_OIKOGENEIAS_ME_EIDIKES_ANAGKES', 'SYNOLIKO']
(18, 1111574, '1', 'ΛΥΚΟΥΡΓΟΥ 14 ΣΠΑΡΤΗ', '6980079416', 'ΑΝΕΡΓΟΣ', 'ΥΠΑΛΛΗΛΟΣ', 'ΠΑΤΡΑ', '9855', '7023', '5705', 6, '3', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 22583)
(74, 1770907, '4', 'ΗΡΑΚΛΕΙΟΥ 256 ΙΩΑΝΝΙΝΑ', '6979807921', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΑΓΡΟΤΙΣΣΑ', 'ΠΑΤΡΑ', '11739', '9970', '6196', 6, '1', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΝΑΙ', 27905)
(34, 1350393, '4', 'ΚΑΡΑΪΣΚΑΚΗ 14 ΠΕΙΡΑΙΑΣ', '6982095019', 'ΑΓΡΟΤΗΣ', 'ΚΑΘΗΓΗΤΡΙΑ', 'ΠΑΤΡΑ', '6635', '10884', '12707', 5, '1', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 30226)
(90, 1868050, '5', 'ΠΑΤΜΕΖΑ 21 ΧΙΟΣ', '6964843146', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΤΡΑΓΟΥΔΙΣΤΡΙΑ', 'ΚΟΥΚΑΚΙ', '12289', '4289', '15579', 8, '4', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 32157)
(30, 1169795, '5', 'ΚΥΠΡΟΥ 86 ΘΕΣΣΑΛΟΝΙΚΗ', '6955011605', 'ΤΡΑΓΟΥΔΙΣΤΗΣ', 'ΑΓΡΟΤΙΣΣΑ', 'ΑΓΡΙΝΙΟ', '12738', '19606', '5752', 5, '2', 'ΝΑΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 38096)
(72, 1755489, '3', 'ΗΡΑΚΛΕΙΟΥ 213 ΙΩΑΝΝΙΝΑ', '6962065929', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΚΟΥΚΑΚΙ', '22832', '13134', '6008', 4, '0', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 41974)
(54, 1609259, '5', 'ΘΕΣΣΑΛΟΝΙΚΗΣ 204 ΗΡΑΚΛΕΙΟ', '6957636090', 'ΥΠΑΛΛΗΛΟΣ', 'ΚΑΘΗΓΗΤΡΙΑ', 'ΑΓΡΙΝΙΟ', '7609', '16691', '17969', 6, '3', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 42269)
(6, 1062987, '2', 'ΘΕΡΜΟΠΥΛΩΝ 82 ΑΣΠΡΟΠΥΡΓΟΣ', '6993913077', 'ΑΝΕΡΓΟΣ', 'ΥΠΑΛΛΗΛΟΣ', 'ΚΟΥΚΑΚΙ', '6155', '20335', '16373', 5, '0', 'ΝΑΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 42863)
(10, 1074953, '5', 'ΜΕΤΑΜΟΡΦΟΣΕΩΣ 42 ΧΑΛΑΝΔΡΙ', '6947588557', 'ΥΠΑΛΛΗΛΟΣ', 'ΥΠΑΛΛΗΛΟΣ', 'ΑΓΡΙΝΙΟ', '22058', '12949', '10421', 3, '0', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 45428)
(76, 1775199, '3', 'ΚΡΙΕΖΗ 33 ΛΑΜΙΑ', '6961980225', 'ΑΓΡΟΤΗΣ', 'ΥΠΑΛΛΗΛΟΣ', 'ΑΓΡΙΝΙΟ', '29114', '4864', '12946', 4, '0', 'ΟΧΙ', 'ΝΑΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 46924)
(46, 1459916, '2', 'ΚΑΡΑΪΣΚΑΚΗ 204 ΚΟΜΟΤΗΝΗ', '6987403544', 'ΚΑΘΗΓΗΤΗΣ', 'ΥΠΑΛΛΗΛΟΣ', 'ΑΓΡΙΝΙΟ', '27343', '12409', '9607', 3, '0', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 49359)
(24, 1126104, '5', 'ΛΥΚΟΥΡΓΟΥ 99 ΣΠΑΡΤΗ', '6975088179', 'ΑΝΕΡΓΟΣ', 'ΤΡΑΓΟΥΔΙΣΤΡΙΑ', 'ΑΓΡΙΝΙΟ', '26907', '7965', '14577', 4, '1', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 49449)
(66, 1723527, '1', 'ΗΡΑΚΛΕΙΟΥ 80 ΙΩΑΝΝΙΝΑ', '6971445442', 'ΑΝΕΡΓΟΣ', 'ΑΝΕΡΓΗ', 'ΑΜΑΛΙΑΔΑ', '23705', '8995', '18628', 4, '1', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 51328)
(32, 1190673, '5', 'ΚΥΠΡΟΥ 97 ΘΕΣΣΑΛΟΝΙΚΗ', '6982360207', 'ΚΑΘΗΓΗΤΗΣ', 'ΥΠΑΛΛΗΛΟΣ', 'ΑΓΡΙΝΙΟ', '15458', '28354', '9959', 8, '2', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 53771)
(50, 1564135, '2', 'ΚΑΡΑΪΣΚΑΚΗ 258 ΚΟΜΟΤΗΝΗ', '6951645232', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΑΓΡΟΤΙΣΣΑ', 'ΚΟΥΚΑΚΙ', '4248', '23415', '26610', 7, '2', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 54273)
(60, 1665836, '2', 'ΘΕΣΣΑΛΟΝΙΚΗΣ 269 ΗΡΑΚΛΕΙΟ', '6952684448', 'ΥΠΑΛΛΗΛΟΣ', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΑΜΑΛΙΑΔΑ', '24187', '25494', '4607', 3, '0', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 54288)
(2, 1034996, '1', 'ΘΕΡΜΟΠΥΛΩΝ 32 ΑΣΠΡΟΠΥΡΓΟΣ', '6933896677', 'ΥΠΑΛΛΗΛΟΣ', 'ΑΓΡΟΤΙΣΣΑ', 'ΠΑΤΡΑ', '8907', '32179', '14819', 5, '1', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΝΑΙ', 55905)
(28, 1161660, '5', 'ΚΥΠΡΟΥ 55 ΘΕΣΣΑΛΟΝΙΚΗ', '6998413854', 'ΚΑΘΗΓΗΤΗΣ', 'ΚΑΘΗΓΗΤΡΙΑ', 'ΠΑΤΡΑ', '27781', '14231', '14124', 3, '0', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 56136)
(48, 1542661, '4', 'ΚΑΡΑΪΣΚΑΚΗ 236 ΚΟΜΟΤΗΝΗ', '6986306144', 'ΤΡΑΓΟΥΔΙΣΤΗΣ', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΑΜΑΛΙΑΔΑ', '29844', '18289', '9453', 5, '0', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 57586)
(14, 1099145, '2', 'ΜΕΤΑΜΟΡΦΟΣΕΩΣ 97 ΧΑΛΑΝΔΡΙ', '6957044452', 'ΑΓΡΟΤΗΣ', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΑΜΑΛΙΑΔΑ', '37736', '14373', '5801', 6, '1', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 57910)
(80, 1800112, '2', 'ΚΡΙΕΖΗ 89 ΛΑΜΙΑ', '6947373405', 'ΤΡΑΓΟΥΔΙΣΤΗΣ', 'ΑΝΕΡΓΗ', 'ΚΟΥΚΑΚΙ', '8202', '22380', '27737', 7, '2', 'ΝΑΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΝΑΙ', 'ΟΧΙ', 58319)
(98, 1974068, '5', 'ΚΑΡΑΝΙΚΟΛΑ 18 ΡΟΔΟΣ', '6963642665', 'ΑΝΕΡΓΟΣ', 'ΤΡΑΓΟΥΔΙΣΤΡΙΑ', 'ΠΑΤΡΑ', '33599', '19153', '7004', 6, '2', 'ΝΑΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 59756)
(78, 1783772, '1', 'ΚΡΙΕΖΗ 57 ΛΑΜΙΑ', '6978850553', 'ΑΓΡΟΤΗΣ', 'ΤΡΑΓΟΥΔΙΣΤΡΙΑ', 'ΑΜΑΛΙΑΔΑ', '7496', '31749', '20711', 6, '2', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 59956)
(100, 1985779, '1', 'ΚΑΡΑΝΙΚΟΛΑ 26 ΡΟΔΟΣ', '6999592202', 'ΑΓΡΟΤΗΣ', 'ΑΝΕΡΓΗ', 'ΚΟΥΚΑΚΙ', '25909', '24401', '11989', 8, '0', 'ΝΑΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΝΑΙ', 'ΝΑΙ', 'ΟΧΙ', 62299)
(40, 1386321, '3', 'ΚΑΡΑΪΣΚΑΚΗ 84 ΠΕΙΡΑΙΑΣ', '6933894197', 'ΤΡΑΓΟΥΔΙΣΤΗΣ', 'ΤΡΑΓΟΥΔΙΣΤΡΙΑ', 'ΚΟΥΚΑΚΙ', '17340', '29858', '18115', 6, '2', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 65313)
(44, 1444451, '5', 'ΚΑΡΑΪΣΚΑΚΗ 187 ΚΟΜΟΤΗΝΗ', '6964535196', 'ΚΑΘΗΓΗΤΗΣ', 'ΕΠΙΕΙΡΗΜΑΤΙΑΣ', 'ΠΑΤΡΑ', '10275', '24273', '32364', 3, '0', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 66912)
(4, 1057493, '2', 'ΘΕΡΜΟΠΥΛΩΝ 56 ΑΣΠΡΟΠΥΡΓΟΣ', '6939186474', 'ΑΝΕΡΓΟΣ', 'ΚΑΘΗΓΗΤΡΙΑ', 'ΑΜΑΛΙΑΔΑ', '11274', '22719', '32986', 6, '0', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 66979)
(68, 1740519, '2', 'ΗΡΑΚΛΕΙΟΥ 134 ΙΩΑΝΝΙΝΑ', '6997373953', 'ΤΡΑΓΟΥΔΙΣΤΗΣ', 'ΤΡΑΓΟΥΔΙΣΤΡΙΑ', 'ΠΑΤΡΑ', '30955', '28590', '7621', 5, '0', 'ΟΧΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 'ΝΑΙ', 'ΟΧΙ', 67166)
